type,date,price,qty,fee,cash_after,signal_source,pnl,return,entry_date,entry_price
BUY,2020-06-03,51800.0,19,147.63,15652.369999999995,85.0,,,,
SELL,2021-03-17,82800.0,19,235.98,1588616.3900000001,-75.0,588616.39,0.5984555984555985,2020-06-03,51800.0
BUY,2021-04-21,83300.0,19,237.40499999999997,5678.985000000102,156.66666666667152,,,,
SELL,2021-05-12,80800.0,19,230.27999999999997,1540648.705,-26.666666666671517,-47967.685,-0.030012004801920768,2021-04-21,83300.0
BUY,2021-12-08,78300.0,19,223.15499999999997,52725.55000000005,296.6666666666715,,,,
SELL,2022-02-10,75600.0,19,215.45999999999998,1488910.09,-286.6666666666715,-51738.615,-0.034482758620689655,2021-12-08,78300.0
BUY,2022-08-22,60300.0,24,217.07999999999998,41493.01000000001,48.33333333333576,,,,
SELL,2022-09-06,57200.0,24,205.92,1414087.09,-60.0,-74823.0,-0.05140961857379768,2022-08-22,60300.0
BUY,2022-11-08,60500.0,23,208.725,22378.36499999999,181.66666666666424,,,,
SELL,2023-01-02,55500.0,23,191.475,1298686.89,-278.33333333333576,-115400.2,-0.08264462809917356,2022-11-08,60500.0
BUY,2023-02-01,62600.0,20,187.79999999999998,46499.08999999985,268.33333333333576,,,,
SELL,2023-03-21,60500.0,20,181.49999999999997,1256317.5899999999,-30.0,-42369.3,-0.03354632587859425,2023-02-01,62600.0
BUY,2023-04-10,64800.0,19,184.67999999999998,24932.909999999916,103.33333333333576,,,,
SELL,2023-08-10,68300.0,19,194.65499999999997,1322438.255,-213.33333333332848,66120.665,0.05401234567901234,2023-04-10,64800.0
BUY,2023-09-26,70000.0,18,188.99999999999997,62249.25499999989,123.33333333332848,,,,
SELL,2023-10-13,68000.0,18,183.6,1286065.6549999998,-18.333333333328483,-36372.6,-0.02857142857142857,2023-09-26,70000.0
BUY,2023-11-08,71300.0,18,192.51,2473.144999999786,75.0,,,,
SELL,2024-02-23,73600.0,18,198.71999999999997,1327074.4249999998,-48.33333333332848,41008.77,0.03225806451612903,2023-11-08,71300.0
BUY,2024-03-27,79200.0,16,190.07999999999998,59684.34499999974,136.66666666667152,,,,
SELL,2024-05-30,74800.0,16,179.51999999999998,1256304.8249999997,-21.666666666671517,-70769.6,-0.05555555555555555,2024-03-27,79200.0
BUY,2024-07-03,82300.0,15,185.17499999999998,21619.649999999674,243.33333333332848,,,,
SELL,2024-08-14,77400.0,15,174.14999999999998,1182445.4999999998,-350.0,-73859.325,-0.05953827460510328,2024-07-03,82300.0
